Date,Tweet,Likes,Retweets
2022-11-15,Punting relaunch of Blue Verified to November 29th to make sure that it is rock solid,227241,15339
2022-11-15,Welcoming back Ligma &amp; Johnson! https://t.co/LEhXV95Njj,766888,49284
2022-11-15,Twitter is All the News,430761,31333
2022-11-14,Sìì! https://t.co/Gj1wHytJxk,45270,3197
2022-11-14,Recent trend is promising https://t.co/0q7UdxSkbM,135091,8462
2022-11-13,"Btw, I’d like to apologize for Twitter being super slow in many countries. App is doing &gt;1000 poorly batched RPCs just to render a home timeline!",176527,11336
2022-11-13,"Rolling out soon, Twitter will enable organizations to identify which other Twitter accounts are actually associated with them",235594,17931
2022-11-13,Twitter feels increasingly alive,571603,35297
2022-11-12,Order at https://t.co/Q1VvqV5G0i! https://t.co/Ehca6KRk3v,77320,6308
2022-11-12,🪦🤖,447828,29044
2022-11-12,Twitter is,101595,12339
2022-11-12,FTX meltdown/ransack being tracked in real-time on Twitter,220801,20022
2022-11-11,"As Twitter pursues the goal of elevating citizen journalism, media elite will try everything to stop that from happening",387221,50903
2022-11-11,Twitter HQ is great (this is a real pic) https://t.co/qjfOQCr533,174699,13085
2022-11-11,Quite the day!,219694,10525
2022-11-11,"Going forward, accounts engaged in parody must include “parody” in their name, not just in bio",361924,29577
2022-11-10,Usage of Twitter continues to rise. One thing is for sure: it isn’t boring!,447551,29990
2022-11-10,I love when people complain about Twitter … on Twitter 🤣🤣,1335462,109633
2022-11-10,https://t.co/FxdcXa1I7i,325804,19985
2022-11-10,Are you seeing far fewer bots/scams/spam?,83916,9247
2022-11-09,"Please note that Twitter will do lots of dumb things in coming months. 

We will keep what works &amp; change what doesn’t.",539914,40669
2022-11-09,Complaint hotline operator online! Please mention your complaints below.,372604,25652
2022-11-08,"Twitter is the worst!
But also the best.",653451,46904
2022-11-08,https://t.co/3t5ahItE5z,692917,48917
2022-11-08,Twitter usage is at an all-time high lol,717025,47147
2022-11-07,"To be clear, my historical party affiliation has been Independent, with an actual voting history of entirely Democrat until this year",372244,28284
2022-11-07,"To independent-minded voters:

Shared power curbs the worst excesses of both parties, therefore I recommend voting for a Republican Congress, given that the Presidency is Democratic.",417955,59152
2022-11-07,How times have changed https://t.co/gCxUkZ4kZC,342441,26026
2022-11-07,"Twitter rules will evolve over time, but they’re currently the following: https://t.co/Ut1tXuefso",106189,15463
2022-11-07,"My commitment to free speech extends even to not banning the account following my plane, even though that is a direct personal safety risk",400611,29327
2022-11-07,Twitter needs to become by far the most accurate source of information about the world. That’s our mission.,768282,70613
2022-11-06,Widespread verification will democratize journalism &amp; empower the voice of the people,302110,27820
2022-11-06,"Going forward, any Twitter handles engaging in impersonation without clearly specifying “parody” will be permanently suspended",654208,69111
2022-11-05,Search within Twitter reminds me of Infoseek in ‘98! That will also get a lot better pronto.,266364,16159
2022-11-05,"Twitter will soon add ability to attach long-form text to tweets, ending absurdity of notepad screenshots",610314,50705
2022-11-05,This rocks https://t.co/sB1sL0Hdrv,233415,13461
2022-11-05,https://t.co/4UQlClBSct,152596,12975
2022-11-05,"Trash me all day, but it’ll cost $8",1372501,96653
2022-11-05,⚡️⚡️⚡️ Power to the People ⚡️⚡️⚡️,721083,69259
2022-11-04,"Regarding Twitter’s reduction in force, unfortunately there is no choice when the company is losing over $4M/day.

Everyone exited was offered 3 months of severance, which is 50% more than legally required.",522369,48574
2022-11-04,"Again, to be crystal clear, Twitter’s strong commitment to content moderation remains absolutely unchanged.

In fact, we have actually seen hateful speech at times this week decline *below* our prior norms, contrary to what you may read in the press.",292663,28094
2022-11-04,Excellent summary of Twitter’s Trust &amp; Safety from the head of the team https://t.co/sJ1MBf9Mub,54313,4687
2022-11-04,"Twitter has had a massive drop in revenue, due to activist groups pressuring advertisers, even though nothing has changed with content moderation and we did everything we could to appease the activists.

Extremely messed up! They’re trying to destroy free speech in America.",705761,91647
2022-11-04,Tiny talk is talk so small it feels like it’s coming from your own mind,165591,10422
2022-11-04,Why is small talk even legal!?,482069,40351
2022-11-03,A neuron doesn’t realize it’s a neuron,362293,20845
2022-11-03,"Because it consists of billions of bidirectional interactions per day, Twitter can be thought of as a collective, cybernetic super-intelligence",220674,15322
2022-11-03,🎯 https://t.co/W55sUbxYed,167162,12981
2022-11-02,🤔 https://t.co/XuJdfMTTi1,452962,35914
2022-11-02,https://t.co/BYOBGBHOUA,465513,37912
2022-11-02,Advertisers should support:,180034,30710
2022-11-02,https://t.co/kGncG7Hs3M,1894743,180655
2022-11-02,Twitter is simply the most interesting place on the Internet. That’s why you’re reading this tweet right now.,625809,44622
2022-11-02,Being attacked by both right &amp; left simultaneously is a good sign,765185,46988
2022-11-02,you get what you pay for,760498,51343
2022-11-02,Twitter speaks to the inner masochist in all of us,235245,18799
2022-11-02,"To all complainers, please continue complaining, but it will cost $8",1109311,88631
2022-11-01,https://t.co/icg6e35LOe,510513,29942
2022-11-01,"Twitter’s current lords &amp; peasants system for who has or doesn’t have a blue checkmark is bullshit. 

Power to the people! Blue for $8/month.",613276,68595
2022-11-01,Sonic BOOMS!! https://t.co/6n5OxFc0Dy,146756,11702
2022-11-01,Falcon Heavy launch in ~30 mins https://t.co/Bluay8q80F,54873,3661
2022-11-01,😉 https://t.co/eaIYaDRBnu,1019557,75091
2022-11-01,Halloween with my Mom https://t.co/xOAgNeeiNN,1131589,49096
2022-10-31,"If I had a dollar for every time someone asked me if Trump is coming back on this platform, Twitter would be minting money!",956945,59981
2022-10-31,Bring back Vine?,252029,27586
2022-10-31,"Wachtell &amp; Twitter board deliberately hid this evidence from the court. Stay tuned, more to come … https://t.co/CifaNvtRtt",290544,47047
2022-10-31,This is fake – I did *not* tweet out a link to The New York Times! https://t.co/d6V6m5ATW2,699170,77913
2022-10-30,"Just received this email from Twitter. This is an actual, real email that was autogenerated 🤣🤣 https://t.co/7DQp4sNINX",533315,39784
2022-10-29,"Finally, the truth that carbs are amazing can be said on this platform! 
#FreeSpeech",690971,52986
2022-10-29,Fresh baked bread &amp; pastries are some of the great joys of life,531574,33513
2022-10-29,"To be super clear, we have not yet made any changes to Twitter’s content moderation policies https://t.co/k4guTsXOIu",250377,22296
2022-10-28,Ligma Johnson had it coming 🍆 💦 https://t.co/CgjrOV5eM2,672744,63317
2022-10-28,Comedy is now legal on Twitter,2393192,258171
2022-10-28,"Twitter will be forming a content moderation council with widely diverse viewpoints. 

No major content decisions or account reinstatements will happen before that council convenes.",615739,60403
2022-10-28,🎶 let the good times roll 🎶,995255,92017
2022-10-28,the bird is freed,2491875,356165
2022-10-28,Falcon rockets to orbit as seen from LA https://t.co/r8L2SbLC3p,454206,33472
2022-10-27,Dear Twitter Advertisers https://t.co/GMwHmInPAS,750668,113664
2022-10-26,Entering Twitter HQ – let that sink in! https://t.co/D68z4K2wq7,1399570,187798
2022-10-26,A beautiful thing about Twitter is how it empowers citizen journalism – people are able to disseminate news without an establishment bias,382653,47431
2022-10-26,"“The New York Times has emerged as a new, chaotic actor in global politics. The paper’s interventions in some of the world’s most combustible conflicts have sometimes been a boon, but their messaging has also caused problems.”",132890,13192
2022-10-25,Works on any moving land object https://t.co/Xu4qKJW4D9,56804,4488
2022-10-25,What lesson took you the longest to unlearn?,163046,12763
2022-10-25,διαλεκτική,105435,7539
2022-10-23,Think about who might have decided “The Current Thing” before accepting it,122920,13084
2022-10-23,"Who decides “The Current Thing?”
Real question. I don’t know.",124476,9510
2022-10-23,Neuralink show &amp; tell now on Nov 30,67405,5216
2022-10-23,"i know
|nothing|
is forever",218181,23218
2022-10-21,"Only Giga Berlin can make these colors, as paint shop was specially built to apply many fine layers of paint, giving it complexity not otherwise possible https://t.co/Htis0LfRzV",46140,3084
2022-10-21,https://t.co/WqGm6InNTp,244583,25639
2022-10-20,Congrats to @SpaceX team on 48th launch this year! Falcon 9 now holds record for most launches of a single vehicle type in a year.,79329,5589
2022-10-19,"I will not let you down, no matter what it takes",407411,36020
2022-10-19,Vox Populi Vox Dei,55113,5704
2022-10-19,Internet in airplanes will feel same as if you were accessing Internet at home! https://t.co/Mfl2ixYnJH,101602,8318
2022-10-19,"28,700 bottles of exquisite Burnt Hair perfume already sold! 

Only 1,300 left of this unique, limited edition, collector’s item. https://t.co/Gh2Zg7B5qX",47809,3427
2022-10-18,"Drone War I
https://t.co/erVME0CbbN",56626,5346
2022-10-17,Exceptionally well-said https://t.co/UT8fXG0MeF,60075,8387
2022-10-17,Are there others that want to donate Starlinks to places in need? https://t.co/M0ASMenMRD,64276,5483
2022-10-16,Deus X Machina,67465,4199
2022-10-16,So true https://t.co/PwmxUVU2Fc,244855,22454
2022-10-16,Fancy a game of meme tennis? https://t.co/d9tqIlg7nB,47094,3027
2022-10-16,Did you hear about the dyslexic KBG agent – it’s pot secret!,94987,5114
2022-10-16,"Pitching my idea once again for a crossover of Das Boot &amp; Boss Baby.

“Das Baby” – Hijinks on the high seas! https://t.co/FieRmSthp2",32881,2093
2022-10-15,"The hell with it … even though Starlink is still losing money &amp; other companies are getting billions of taxpayer $, we’ll just keep funding Ukraine govt for free",512779,39121
2022-10-13,"20,000!!",194944,10170
2022-10-13,https://t.co/WLVh5zBiO5,305799,19688
2022-10-12,"We might need a different name, as this is basically just Starlink with roaming capability, so you can take your terminal anywhere. https://t.co/gnH0YPPVOS",27122,2072
2022-10-12,"Please buy my perfume, so I can buy Twitter",585443,42910
2022-10-12,"10,000 bottles of Burnt Hair sold!",80288,3973
2022-10-12,Over 5000 bottles of Burnt Hair sold!,66717,4359
2022-10-11,https://t.co/WDtHXqgUPx,242626,29915
2022-10-11,"With a name like mine, getting into the fragrance business was inevitable – why did I even fight it for so long!?",231255,13001
2022-10-11,"The finest fragrance on Earth!
https://t.co/ohjWxNX5ZC https://t.co/0J1lmREOBS",129760,11732
2022-10-11,Maybe one day we can finally achieve https://t.co/jKBu2wJIDA,157282,10994
2022-10-11,https://t.co/Q31B9x4RCH,69171,5118
2022-10-09,Coming soon from The @BoringCompany https://t.co/cNIbFRRXyt,66743,4239
2022-10-09,An eye for an eye leaves everyone blind https://t.co/pQztPvR4uI,96987,10658
2022-10-09,https://t.co/VvGa39qAyE,103439,7378
2022-10-07,"In case you missed Tesla AI Day 2022
https://t.co/Sbu0peXpY1",42421,3057
2022-10-07,SpaceX Dragon docking with @Space_Station (extended video) https://t.co/AFBDKHddgI,57531,6316
2022-10-06,Excited to announce start of production of Tesla Semi Truck with deliveries to @Pepsi on Dec 1st! https://t.co/gq0l73iGRW,363786,30394
2022-10-06,Starlink view of 2nd stage deorbit burn https://t.co/kbLv95bAK7,78200,5115
2022-10-06,War is the ultimate Supreme Court,217912,18326
2022-10-06,"Another batch of Starlinks in orbit, 7 hours after the astronaut launch https://t.co/mQshEY16RP",41957,3116
2022-10-04,"Buying Twitter is an accelerant to creating X, the everything app",424899,36941
2022-10-03,Let’s try this then: the will of the people who live in the Donbas &amp; Crimea should decide whether they’re part of Russia or Ukraine,98644,17597
2022-10-03,"Ukraine-Russia Peace:

- Redo elections of annexed regions under UN supervision. Russia leaves if that is will of the people.

- Crimea formally part of Russia, as it has been since 1783 (until Khrushchev’s mistake).

- Water supply to Crimea assured.

- Ukraine remains neutral.",100874,20702
2022-10-03,https://t.co/cGHSTdb9gv,252515,34873
2022-10-02,https://t.co/inO8f1q38o,149953,8626
2022-10-02,Prufrock II emerging from the ground https://t.co/csamCrmAZa,71546,4338
2022-10-02,Do not let ancient grudge break to new mutiny,101313,9196
2022-10-02,https://t.co/HdUl0etoao,234427,13792
2022-10-02,"Recording of Tesla AI Day 2022 
https://t.co/7LR51x7pXa",23898,2625
2022-10-01,🤖 🖤 https://t.co/eNhVVztXHM,99146,5177
2022-10-01,https://t.co/PHa7kKhFoT,516120,33016
2022-10-01,"Naturally, there will be a catgirl version of our Optimus robot",108749,7462
2022-10-01,"The point of AI Day is to show the immense depth &amp; breadth of Tesla in AI, compute hardware &amp; robotics",52685,4927
2022-09-30,Webcast link https://t.co/TrtjKph4Mk,17176,1753
2022-09-30,Tesla AI Day 2022 starts at precisely 6:15pm California time,42245,3228
2022-09-29,"Cybertruck will be waterproof enough to serve briefly as a boat, so it can cross rivers, lakes &amp; even seas that aren’t too choppy",208953,14724
2022-09-29,"Note, this event is meant for recruiting AI &amp; robotics engineers, so will be highly technical https://t.co/BcxAEv6qJd",51594,4552
2022-09-28,Starlink Maritime system enables high speed Internet connectivity even in heavy seas &amp; hurricane winds https://t.co/6R4p73UGOT,48149,4486
2022-09-28,Last coal shipment arrived in Hawaii at same time as Tesla Megapack batteries that will enable 24/7 sustainable energy https://t.co/zlqJHLsAQq,44465,3888
2022-09-28,https://t.co/mEBAgBCCkj,160352,14175
2022-09-27,Make “hair on fire” not just a metaphor,54200,3928
2022-09-27,https://t.co/1hbMzueALi,47896,3617
2022-09-27,“Burnt Hair” – Scent for Men by Singed,44939,2456
2022-09-27,"My son, Saxon, was amazed that so many paper newspapers are still produced every day. 

He said they probably just search the Internet &amp; print it out. Yup, with rare exception, that is *actually* what they do haha.",113482,8242
2022-09-27,https://t.co/RcKPRe8eiM,604164,47568
2022-09-27,"Falcon 9 fairing cam captures 2nd stage plume, booster entry burn &amp; Earth in twilight https://t.co/ga9MpZKvK2",90509,7285
2022-09-25,https://t.co/2wpp3F31jA,240598,22378
2022-09-25,Starlink now over 1M user terminals manufactured,154992,11671
2022-09-23,Starlink connecting schools in the Amazon https://t.co/Xy70D0sk8N,132022,12838
2022-09-19,"FSD Beta 10.69.2.1 looks good, extending to 160k owners in US &amp; Canada",45890,3258
2022-09-19,"Baltasar Gracián, Oráculo Manual y Arte de Prudencia",35869,2869
2022-09-19,7 engine static fire https://t.co/sOm8Jx8rJq,139005,10597
2022-09-19,"starry, starry night 
paint your palette
blue and gray https://t.co/iUm9pzfDGc",209652,15164
2022-09-19,"Starlink is now active on all continents, including Antarctica 
https://t.co/Q1VvqV5G0i",118216,12860
2022-09-18,https://t.co/VDcpkjm56j,260699,21638
2022-09-17,Starlink is meant for peaceful use only,223273,13079
2022-09-14,"Salted butter is amazing, but should be stored at room temperature https://t.co/8RSr340JB8",131766,7215
2022-09-14,https://t.co/xMoL9wdXh6,293839,20228
2022-09-13,"Blow the whistle!
https://t.co/RQLDti0ULZ",52473,3605
2022-09-13,https://t.co/qjjDVyOszp,39351,2899
2022-09-13,My tweets are being suppressed!,132203,9310
2022-09-13,Anyone know who the secret clients are? Let’s out them on Twitter rn haha. https://t.co/g8D1mQZLRv,19627,2029
2022-09-13,Rome show is underappreciated https://t.co/oqd3B6O5Mw,21475,1289
2022-09-13,🍿,50400,3787
2022-09-13,Take a moment to … https://t.co/R3hK5u4UW6,374085,29373
2022-09-12,Won’t be long before we view gasoline cars the same way we view steam engines today,181116,14328
2022-09-11,"FSD Beta 10.69.2 rolling out now. Please note that top priority is safety, so expect it to be overly cautious, especially around pedestrians.",47449,3253
2022-09-11,Falcon arching to orbit https://t.co/m7grug8FV9,181739,12029
2022-09-11,No obvious limit to rocket reflight so far https://t.co/rBrcyjxJea,46888,3525
2022-09-09,Take Materials Science 101. You won’t regret it.,142248,10205
2022-09-09,A major Fed rate hike risks deflation,84715,6181
2022-09-09,Tesla North America aiming for &gt;50% same hour service,39471,2285
2022-09-08,And remember 💕 https://t.co/unsJK0CjM9,108351,15997
2022-09-07,“That’s not punny!”,76595,4352
2022-09-05,Order a Tesla Powerwall battery for blackout protection! https://t.co/tEE4LDBD78,47219,4585
2022-09-05,Tolkien is turning in his grave,288255,27459
2022-09-03,https://t.co/L8gLdGE74c,83109,6960
2022-09-01,"Sure sounds higher than 5%!
 https://t.co/Va7TxxzoI6",93301,10936
2022-08-31,Now launching every ~5 days https://t.co/KJYG5CKPYx,60332,5046
2022-08-30,Spent the day walking entire Giga Berlin production line – team is doing excellent work!,115258,5524
2022-08-30,Kickass Internet connection coming Royal Caribbean ships soon! https://t.co/8qJRiUuNah,66353,4926
2022-08-28,This will happen again – just a matter of time https://t.co/HeyZhZbAih,55278,5305
2022-08-28,Godspeed Artemis! https://t.co/8rZSQPamBf,51304,4522
2022-08-28,"From time to time, I will share some things that seem to be working for me, in case you find it helpful",205697,12694
2022-08-28,"On advice of a good friend, I’ve been fasting periodically &amp; feel healthier",198733,12965
2022-08-28,Squeezing extra performance out of Falcon 9 – almost at 17 metric tons to an actual useful orbit with booster &amp; fairing reusable! https://t.co/vgHsmaSj7d,35331,2604
2022-08-26,Countries should be increasing nuclear power generation! It is insane from a national security standpoint &amp; bad for the environment to shut them down.,302599,34754
2022-08-26,Population collapse due to low birth rates is a much bigger risk to civilization than global warming,352889,40635
2022-08-26,"Starlink V2, launching next year, will transmit direct to mobile phones, eliminating dead zones worldwide",198677,20666
2022-08-25,Livestream of big news in about an hour https://t.co/LSMIRYBxHH,26647,2598
2022-08-24,This is something special https://t.co/LSMIRYT8zf,43117,4289
2022-08-24,The course of civilization is not always upward https://t.co/8mr7pFWcnI,34110,3177
2022-08-24,Mechazilla loads Starship on launchpad https://t.co/LfkfjpAcZj,160139,11221
2022-08-23,https://t.co/KsWiazActx,96473,6721
2022-08-22,Neuralink progress update show &amp; tell on October 31 st (Halloween),95506,6747
2022-08-22,"2 main goals this year: 

- Starship to orbit
- FSD wide release

Many other things, of course, but those are the 2 giant kahunas. Will require insane work by many super talented people, but, if anyone can do it, they can. 

It is an honor to work with such awesome human beings.",75781,5898
2022-08-21,👿 https://t.co/hdzRzphcii,251277,17332
2022-08-21,"After wide release of FSD Beta 10.69.2, price of FSD will rise to $15k in North America on September 5th. 

Current price will be honored for orders made before Sept 5th, but delivered later.",39229,3136
2022-08-21,"FSD Beta 10.69 started rolling out to Tesla owners last night. This build is a big step forward!

10.69.1 probably end of week with wider release.

1069.2 in a few weeks should be good enough to provide to all FSD Beta participants.",24162,2087
2022-08-19,"Nice letter from Bill Nix, who would’ve been my prof at Stanford if I hadn’t put grad studies on (permanent) deferment https://t.co/ioq0mGwN7K",150366,7601
2022-08-19,Still so grateful 🥹 https://t.co/EhdyXw4fqN,558787,31122
2022-08-19,https://t.co/KBjnfkU4ia,219709,16652
2022-08-17,🎶 This Magic Moment 🎶,94073,5843
2022-08-17,Being a Mom is just as important as any career,728133,79420
2022-08-17,Highly Recommend https://t.co/nrDZ4gJqEE,23688,1570
2022-08-17,Standup is my side-hustle,154816,8763
2022-08-16,"To be clear, I support the left half of the Republican Party and the right half of the Democratic Party!",363838,20807
2022-08-14,Congrats Giga Shanghai on making millionth car! Total Teslas made now over 3M. https://t.co/2Aee6slCuv,158086,10171
2022-08-14,Just Read The Instructions https://t.co/BWYzSEE0Q8,240652,22456
2022-08-13,Adding the 13 inner engines https://t.co/ooOFEGl0Hr,93709,6669
2022-08-13,Another orbital plane of polar satellites https://t.co/UDl6wStLuT,30904,2521
2022-08-12,This will be Mars one day https://t.co/nf4hML8dKx,362836,24271
2022-08-12,but have u seen my sex tape https://t.co/aCBqIRz4sH,667782,48755
2022-08-11,Starship B7 static fire https://t.co/taBpsd9LSV,133742,9159
2022-08-11,Fate 🖤 Irony https://t.co/RHZ9BEws7k,257998,38537
2022-08-11,deep thot https://t.co/0EcPd30QAs,254264,24923
2022-08-11,https://t.co/UfZdHZvtAA,524166,40736
2022-08-10,8 years ago https://t.co/HPK5R5UMS6,29385,3056
2022-08-10,Wrote this 6 years ago https://t.co/r9GdXpCtZU,36585,3463
2022-08-10,https://t.co/67gqPGe7Ph,194254,12645
2022-08-10,Quite the day https://t.co/UYQZwCvgk7,32953,2635
2022-08-07,https://t.co/1duQL9NU2E,108143,10423
2022-08-07,FSD Beta 10.69 drops on 8/20,68186,5108
2022-08-06,Saxon James Musk https://t.co/d7FKw4iQIU,41377,3822
2022-08-06,Less than 5% of Twitter daily users are fake/spam,67096,7229
2022-08-06,Moving rocket to launch pad https://t.co/nPVq1tyLoy,146922,9201
2022-08-05,Hustling to get Starship Booster 7 back to pad to test outer ring of 20 engines,66960,4100
2022-08-05,Full Send Podcast https://t.co/01FmxYRrVr,44274,4694
2022-08-05,Thank goodness for Senator Manchin,91864,4693
2022-08-02,The ratio of digital to biological compute is growing fast. Worth tracking.,101522,6834
2022-08-02,Just came across this pretty good CNBC piece on SpaceX &amp; Starship https://t.co/RELYzC40M9,30537,3461
2022-08-02,Worth reading. This is a close match for my philosophy. https://t.co/cWEM6QBobY,46954,5181
2022-08-01,Still time to vote! https://t.co/ZbFWv0pkgG,27258,2235
2022-08-01,https://t.co/2Ck4z96NFM,203764,16261
2022-07-31,"If our reality is actually an alien soap opera, our ratings would be 🚀💥💫",150666,10955
2022-07-31,Maybe free some people in jail for weed here too? https://t.co/AYo0ZC79lZ,384747,45133
2022-07-31,Off to the Races set to Harley Quinn https://t.co/79XaBOxAKk,30446,2752
2022-07-30,Tesla + Twitter -&gt; Twizzler,268850,17760
2022-07-30,Interaction with almost all twitter accounts seem to be much lower in recent weeks &amp; days. Accurate?,136012,7795
2022-07-30,Saxon https://t.co/UTh4uqIEYP,46442,3259
2022-07-30,Friend made this for me 2 years ago https://t.co/XzlmpmPNT7,73429,4923
2022-07-30,Try voice command “open butthole” on your Tesla,159401,10073
2022-07-30,https://t.co/Uo30yDO3tJ,341802,28614
2022-07-30,Heatwave in Shortville 🥵,67129,4329
2022-07-29,"I can’t say for sure that Starship will reach escape velocity, but my hubris certainly has",96894,5508
2022-07-29,Inflation might be trending down,161877,11097
2022-07-28,Much harder to make friends than enemies. My skill at the latter is improving.,272352,20926
2022-07-27,The media is a click-seeking machine dressed up as a truth-seeking machine,338109,39958
2022-07-27,"A new philosophy of the future is needed. I believe it should be curiosity about the Universe – expand humanity to become a multiplanet, then interstellar, species to see what’s out there.",161849,16544
2022-07-25,All Teslas come with a free karaoke app https://t.co/mZa3WmhyPL,213174,12584
2022-07-25,"Single-piece casting reduces weight, greatly simplifies factory, increases ride quality &amp; reduces road noise https://t.co/hJw4KLpfDg",72036,5970
2022-07-25,What video games have you enjoyed most over past year or two?,224691,11126
2022-07-25,"Movie idea: Boss Baby meets Das Boot
Das Baby – “Hijinks on the High Seas!”",75604,4011
2022-07-24,"The dark origin of the lemming mass suicide myth …
https://t.co/wn7vg2mUjr",40595,3386
2022-07-24,https://t.co/TpGbs06lnT,319476,20504
2022-07-24,Gehalt und Gestalt,63057,3109
2022-07-23,Excited to work with Tesla Service to enable same-hour service as often as possible! Applying Formula 1 pit crew techniques to Teslas.,107214,6632
2022-07-22,"Starlink now available in 36 countries!
https://t.co/nH1zPfd2Om",71063,6745
2022-07-22,Congrats to SpaceX team on record number of launches! https://t.co/nb8ozrbqZ5,46286,3003
2022-07-22,Optimus Primed https://t.co/DMIPaIYevN,268243,19513
2022-07-21,🥇 https://t.co/VlSpfXZdp9,409341,31937
2022-07-19,One of the best features of Model X https://t.co/zUTcSD7fiz,106905,7346
2022-07-19,Congrats to Tesla Fremont + Giga Nevada for making their 2 millionth car!,111409,6341
2022-07-19,Please vote your shares with Tesla! https://t.co/ZbFWv0pkgG,34095,3039
2022-07-18,https://t.co/8IYBfjFact,354742,29569
2022-07-15,"Tesla is to protect life on Earth,
SpaceX to extend life beyond.",227125,19770
2022-07-15,"Mars may be a fixer upper of a planet, but it has great potential!",147586,8764
2022-07-15,https://t.co/ozWk7GxcEu,630421,47637
2022-07-15,Dragon launching in 2 mins https://t.co/DBQDCbBy6B,50228,3941
2022-07-13,A+ for cinematography https://t.co/anGjQKbq5W,494717,54301
